X,Y,OBJECTID,FEATURE_ID,NAME,ADDRESS,ZIP,City,INVENTORY_ID,DISTRICT,OWNERSHIP_TYPE,OWNER,REG_SPACES,ACCESSIBLE,XCOORD,YCOORD,LONGITUDE,LATITUDE,ADDRESS_NUM,ON_PREFIX,ON_STNAME,ON_STYPE,ON_SUFFIX,CROSS_PREFIX,CROSS_STNAME,CROSS_STYPE,CROSS_SUFFIX
-122.2901856,47.46606564,57,570145,SeaTac Center Garage P&R,15247 S 154th St,98188,SeaTac,903,S,L,,62,0,1280085,173418,-122.290188,47.46606375,15247,S,154th,St,,,International,Blvd,
-122.2241961,47.56394921,58,570147,Congregational Church of Mercer Island P&R,4545 Island Crest Way,98040,Mercer Island,634,E,L,MI,28,0,1297050.01,208814.68,-122.224198,47.56394721,4545,,Island Crest,Way,,SE,46th,St,
-122.0187729,47.36510112,59,570141,Maple Valley Town Square P&R,26520 Maple Valley-Black Diamond Rd SE,98038,Maple Valley,652,S,L,,97,0,1346641.877,135441.5065,-122.0187758,47.36509864,26520,,Maple Val-Blk Diamon,Rd,,SE,264th,St,
-122.1363656,47.57044701,60,570024,Eastgate Congregational Church P&R,15318 SE Newport Way,98006,Bellevue,551,E,L, ,20,0,1318771,210805,-122.1363674,47.57044482,15318,SE,Newport,Way, , ,152nd,Ave,SE
-122.1886296,47.74111413,61,570036,Brickyard Road P&R,15530 Juanita-Woodinville Way NE,98011,Bothell,702,E,P,KC/S,443,0,1306967.539,273271.6963,-122.1886307,47.7411121,15530, ,Juanita-Woodinville,Way,NE, , , , 
-122.1820327,47.30044589,62,570061,SR 18/Auburn- Black Diamond Rd P&R,SR 18/Auburn-Black Diamond Rd,98092,Auburn,751,S,P,S,26,0,1305773.534,112527.1599,-122.182036,47.30044379,0, ,SR 18, , , ,Auburn-Black Diamond,Rd, 
-122.3268697,47.70341931,63,570074,Northgate Mall Garage P&R,NE 103rd St & 1st Ave NE,98125,Seattle,758,N,P,,280,0,1272693,260154,-122.3268711,47.70341752,,NE,103rd St,St,,,1st,Ave,NE
-122.3282069,47.70229041,64,570093,Northgate Transit Center P&R,10200 1st Ave NE,98125,Seattle,753,N,P,KC,90,0,1272355.816,259748.6841,-122.3282082,47.70228862,10200, ,1st,Ave,NE, , , , 
-122.2409121,47.46041123,65,570106,Tukwila Station P&R,7301 S Longacres Way,98188,Tukwila,871.1,S,P,ST,390,0,1292233,171129,-122.2409145,47.46040926,7301,S,Longacres,Way, , , , , 
-122.1707054,47.56480667,66,570113,Newport Covenant Church P&R,12800 Coal Creek Pkwy SE,98006,Bellevue,514,E,L, ,75,0,1310259.5,208893.3281,-122.1707073,47.56480455,12800,,Coal Creek,Pkwy,SE, ,Factoria,Blvd,SE
